UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude,Income_Data
100663002,University of Alabama at Birmingham,105200,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1,"Public, 4-year or above",7903.0,13736.0,21639.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"301 Governors Drive SW, Huntsville, AL 35801",34.719816,-86.582288,
100706001,University of Alabama in Huntsville,105500,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",5333.0,3904.0,9237.0,0.0,7.0,0.0,0.0,3.0,0.0,0,3,0,1,1,1,"301 SPARKMAN DR, HUNTSVILLE, AL 35899",34.7189363,-86.6374919,
100760001,Central Alabama Community College,100700,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",751.0,1026.0,1777.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,1,1,1,"1675 Cherokee Rd, Alexander City, AL 35010",32.92499278830759,-85.94800050868906,
100760003,Central Alabama Community College,100700,Talladega Campus,1009 South Street East,Talladega,AL,35160,4,"Public, 2-year",751.0,1026.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1009 South Street East, Talladega, AL 35160",33.43526,-86.086606,
100760004,Central Alabama Community College,100700,Prattville Campus,1320 Old Ridge Road  ,Prattville,AL,36066,4,"Public, 2-year",751.0,1026.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1320 Old Ridge Road  , Prattville, AL 36066",32.503367519277106,-86.42768109953543,
100812001,Athens State University,100800,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1,"Public, 4-year or above",887.0,2007.0,2894.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,1,"300 N BEATY ST, ATHENS, AL 35611",34.8060684,-86.9651364291035,
100858001,Auburn University,100900,Auburn University,182 South College Street,Auburn,AL,36849,1,"Public, 4-year or above",15678.0,16086.0,31764.0,4.0,48.0,24.0,8.0,33.0,30.0,8,44,38,1,1,1,"182 South College Street, Auburn, AL 36849",32.60471105,-85.48279062089341,
100858002,Auburn University,100900,Joseph S Bruno Auburn Abroad Italy,Via del Parco 149,Ariccia,,00072,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
100858005,Auburn University,100900,Harris Early Learning Center,1413 7th Avenue North,Birmingham,AL,35203,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1413 7th Avenue North, Birmingham, AL 35203",33.51647889795918,-86.81774108163265,
100858006,Auburn University,100900,Auburn University Regional Airport,2150 Mike Hubbard Blvd,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2150 Mike Hubbard Blvd, Auburn, AL 36830",32.6118107,-85.43694166226194,
100858007,Auburn University,100900,E W Shell Fisheries Center North,2101 North College Street,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2101 North College Street, Auburn, AL 36830",32.6074533,-85.4817293,
100858008,Auburn University,100900,Charles C. Miller Poultry Research and Education Center,1088 Auburn Lakes Road,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1088 Auburn Lakes Road, Auburn, AL 36830",32.68249,-85.508237,
100858011,Auburn University,100900,Harrison College of Pharmacy - Montgomery,101 South Union Street,Montgomery,AL,36104,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"101 South Union Street, Montgomery, AL 36104",32.37701195446968,-86.29956028153293,
100858012,Auburn University,100900,The Center for Architecture and Urban Studies,221 20th Street North,Birmingham,AL,35203,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"221 20th Street North, Birmingham, AL 35203",33.51559418367347,-86.80628208163265,
100858014,Auburn University,100900,Futures Studio,301 Conti Street,Mobile,AL,36688,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"301 Conti Street, Mobile, AL 36688",30.689823,-88.045395,
100937001,Birmingham-Southern College,101200,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",512.0,463.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 Arkadelphia Road, Birmingham, AL 35254",33.51316,-86.849416,
101028001,Chattahoochee Valley Community College,1218200,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869,4,"Public, 2-year",560.0,1081.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2602 COLLEGE DR, PHENIX CITY, AL 36869",32.42909295818755,-85.0294945283175,
101161002,Coastal Alabama Community College,106000,Coastal Alabama Community College - Fairhope Campus,440 Fairhope Avenue,Fairhope,AL,36532,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,1,"440 Fairhope Avenue, Fairhope, AL 36532",30.52295481632653,-87.90253659183674,
101161003,Coastal Alabama Community College,106000,Coastal Alabama Community College - Gulf Shores Campus,3301 Gulf Shores Parkway,Gulf Shores,AL,36542,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3301 Gulf Shores Parkway, Gulf Shores, AL 36542",30.298169,-87.683249,
101161004,Coastal Alabama Community College,106000,Coastal Alabama Community College - Brewton Campus,220 ALCO DR,BREWTON,AL,36426,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1,1,"220 ALCO DR, BREWTON, AL 36426",31.1022138,-87.0862756,
101161008,Coastal Alabama Community College,106000,Coastal Alabama Community College - GILBERTOWN CAMPUS,251 College Street,Gilbertown,AL,36908,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"251 College Street, Gilbertown, AL 36908",31.871155783434947,-88.31555331214356,
101161009,Coastal Alabama Community College,106000,Coastal Alabama Community College - JACKSON CAMPUS,235 College Avenue,Jackson,AL,36545,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"235 College Avenue, Jackson, AL 36545",31.51269939177683,-87.89395789138472,
101277001,New Beginning College of Cosmetology,4187200,Main Campus,421 Martling Rd,Albertville,AL,35951,9,"Private for-profit, less-than 2-year",0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"421 Martling Rd, Albertville, AL 35951",34.277689385322724,-86.19718984818755,
101286004,George C Wallace Community College-Dothan,101800,Sparks Campus,3235 South Eufaula Ave.,Eufaula,AL,36027,4,"Public, 2-year",1195.0,2637.0,3832.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3235 South Eufaula Ave., Eufaula, AL 36027",31.836367648380993,-85.16581350219484,
101365001,Herzing University-Birmingham,962107,Main Campus,280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209,2,"Private nonprofit, 4-year or above",126.0,452.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"280 WEST VALLEY AVENUE, BIRMINGHAM, AL 35209",33.470972,-86.824393,
101471001,J F Ingram State Technical College,3002500,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",671.0,97.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"5375 Ingram Rd, Deatsville, AL 36022",32.58234417810123,-86.39108807967892,
101480001,Jacksonville State University,102000,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3839.0,5793.0,9632.0,0.0,7.0,0.0,3.0,6.0,5.0,1,2,0,1,1,1,"700 Pelham Road North, Jacksonville, AL 36265",33.8249359,-85.76410953844884,
101514002,John C Calhoun State Community College,101300,Calhoun Community College Huntsville,102 Wynn Drive,Huntsville,AL,35805,4,"Public, 2-year",3698.0,4465.0,8163.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"102 Wynn Drive, Huntsville, AL 35805",34.74228919127517,-86.65280794966442,
101514004,John C Calhoun State Community College,101300,Alabama Center for the Arts,133 2nd Avenue NE,Decatur,AL,35601,4,"Public, 2-year",3698.0,4465.0,8163.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"133 2nd Avenue NE, Decatur, AL 35601",34.605282849999995,-86.98576441887928,
101602002,Lurleen B Wallace Community College,898800,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street,Opp,AL,36467,4,"Public, 2-year",878.0,1051.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1708 N. Main Street, Opp, AL 36467",31.305505424573397,-86.25512649244057,
101602003,Lurleen B Wallace Community College,898800,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass,Greenville,AL,36037,4,"Public, 2-year",878.0,1051.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"750 Greenville Bypass, Greenville, AL 36037",31.84753844897959,-86.62682687755103,
101648001,Marion Military Institute,102600,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",232.0,88.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1101 Washington St., Marion, AL 36756",32.624483048686194,-87.31833324165258,
101675001,Miles College,102800,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",570.0,688.0,1258.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,1,"5500 Myron Massey Blvd, Fairfield, AL 35064",33.48109865,-86.90911015439585,
101736001,Northwest-Shoals Community College,569700,Shoals Campus,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661,4,"Public, 2-year",1853.0,2179.0,4032.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"800 GEORGE WALLACE BLVD, MUSCLE SHOALS, AL 35661",34.740338,-87.6775438,
101736002,Northwest-Shoals Community College,569700,Phil Campbell Campus,2080 College Road,Phil Campbell,AL,35581,4,"Public, 2-year",1853.0,2179.0,4032.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2080 College Road, Phil Campbell, AL 35581",34.343733400000005,-87.7309114205456,
101879002,University of North Alabama,101600,East Campus,1640 Tune Avenue,florence,AL,35630,1,"Public, 4-year or above",3490.0,6340.0,9830.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1640 Tune Avenue, florence, AL 35630",34.821231049999994,-87.65919046495817,
102030003,Bishop State Community College,103000,Carvar Campus,414 Stanton Rd.,Mobile,AL,36617,4,"Public, 2-year",1040.0,1928.0,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"414 Stanton Rd., Mobile, AL 36617",30.7009136,-88.09299702012882,
102030004,Bishop State Community College,103000,SouthWest Campus,925 Dauphin Island Parkway,Mobile,AL,36605,4,"Public, 2-year",1040.0,1928.0,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"925 Dauphin Island Parkway, Mobile, AL 36605",30.66194864,-88.08836808,
102049002,Samford University,103600,Daniel House at Samford University London Study Center,"12 Ashburn Gardens, Kensington",London,,SW7 4DG,2,"Private nonprofit, 4-year or above",1824.0,3858.0,5682.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
102067001,Shelton State Community College,569100,Martin Campus,9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405,4,"Public, 2-year",1698.0,2468.0,4166.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"9500 OLD GREENSBORO RD, TUSCALOOSA, AL 35405",33.069772,-87.564326,
102270001,Stillman College,104400,Stillman College,3601 Stillman Boulevard,TUSCALOOSA,AL,35401,2,"Private nonprofit, 4-year or above",328.0,416.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3601 Stillman Boulevard, TUSCALOOSA, AL 35401",33.200947,-87.58328633873036,
102368002,Troy University,104700,Phenix City Campus,1 University Place,Phenix City,AL,36869,1,"Public, 4-year or above",5098.0,9058.0,14156.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1 University Place, Phenix City, AL 36869",32.423549,-85.029837,
102368005,Troy University,104700,Atlantic Region,2743 Perimeter Parkway,Augusta,GA,30907,1,"Public, 4-year or above",5098.0,9058.0,14156.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2743 Perimeter Parkway, Augusta, GA 30907",33.483719592124665,-82.08583673874499,
102368007,Troy University,104700,Southeast Region,2743 Perimeter Parkway,Augusta,GA,30907,1,"Public, 4-year or above",5098.0,9058.0,14156.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2743 Perimeter Parkway, Augusta, GA 30907",33.483719592124665,-82.08583673874499,
102429001,Bevill State Community College,573300,Bevill State Community College Jasper (Main) Campus,1411 Indiana Avenue,Jasper,AL,35501,4,"Public, 2-year",1495.0,2208.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1411 Indiana Avenue, Jasper, AL 35501",33.837373618700575,-87.26492467508099,
102429002,Bevill State Community College,573300,Sumiton Campus,101 State Street,Sumiton,AL,35148,4,"Public, 2-year",1495.0,2208.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"101 State Street, Sumiton, AL 35148",33.750576,-87.049616,
102429003,Bevill State Community College,573300,Fayette Campus,2631 Temple Avenue North,Fayette,AL,35555,4,"Public, 2-year",1495.0,2208.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2631 Temple Avenue North, Fayette, AL 35555",33.72584195,-87.81840246008414,
102429004,Bevill State Community College,573300,Hamilton Campus,1481 Military Street South,HAMILTON,AL,35570,4,"Public, 2-year",1495.0,2208.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1481 Military Street South, HAMILTON, AL 35570",34.124918040816326,-87.98984287755103,
